PPID,FS,Unit,Level,Feature,Art,Size Grade,Weight (g),Chert,Cortex,Flake,Category,Modified,Thermal Alteration,Tool Class,Tool Class Comment,Pottery,Pottery Comment,Historic,Historic Comment,Comment,x,y,z
57,2017-053,N547E390,14,,3,"1/2""",1.3,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,390.237,547.304,100.102
58,2017-053,N547E390,14,,4,"1/4""",0.8,TRUE,FALSE,TRUE,Distal,FALSE,TRUE,,,FALSE,,FALSE,,,390.282,547.114,100.112
59,2017-053,N547E390,14,,5,"3/4""",8.3,TRUE,TRUE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,390.264,547.197,100.116
62,2017-053,N547E390,14,,11,"1/4""",1.1,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.334,547.441,100.08
89,2017-053,N547E390,14,,7,"1""",256.6,FALSE,FALSE,FALSE,,FALSE,FALSE,Other,Hammerstone,FALSE,,FALSE,,,390.331,547.157,100.032
83,2017-053,N547E390,14,,8,"3/4""",21.3,TRUE,TRUE,FALSE,,TRUE,TRUE,Uniface,unifacially modified flake,FALSE,,FALSE,,,390.525,547.123,100.077
91,2017-053,N547E390,14,,9,"1/2""",8.7,TRUE,FALSE,FALSE,,FALSE,FALSE,Other,Pebble,FALSE,,FALSE,,,390.508,547.26,100.12
61,2017-053,N547E390,14,,10,"1/2""",4.2,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.465,547.294,100.111
60,2017-053,N547E390,14,,6,"1/2""",7.4,TRUE,TRUE,TRUE,Medial,FALSE,FALSE,,,FALSE,,FALSE,,,390.292,547.284,100.108
63,2017-053,N547E390,14,,12,"1/2""",1.4,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,390.509,547.419,100.093
64,2017-053,N547E390,14,,13,"1/2""",3.3,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.461,547.442,100.075
84,2017-053,N547E390,14,,14,"1""",57.1,TRUE,TRUE,FALSE,,TRUE,TRUE,Biface,fragment,FALSE,,FALSE,,,390.474,547.468,100.065
65,2017-053,N547E390,14,,15,"1/2""",1.4,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,390.729,547.174,100.061
